candidate_id,rank,score,reasoning
CAND_0036184,1,0.639,"Riya Chopra brings 6y of ML/AI experience, most recently at CRED as Recommendation Systems Engineer. Strong hands-on match on Sentence Transformers, PyTorch, FAISS. Based in Trivandrum, Kerala. Available in 30 days · Active GitHub contributor."
CAND_0030031,2,0.5913,"Anil Joshi brings 5y of ML/AI experience, most recently at Microsoft as AI Engineer. Strong hands-on match on scikit-learn, Milvus, BM25. Based in Trivandrum, Kerala. Available in 30 days · Active GitHub contributor."
CAND_0095619,3,0.5438,"Vivaan Dalal brings 15y of ML/AI experience, most recently at Nykaa as NLP Engineer. Strong hands-on match on Pinecone, Weaviate, MLflow. Based in Mumbai, Maharashtra. Available in 30 days. Note: recent inactivity."
CAND_0002025,4,0.5223,"Ira Dalal brings 5y of ML/AI experience, most recently at Apple as Senior AI Engineer. Strong hands-on match on FAISS, TensorFlow, Sentence Transformers. Based in Trivandrum, Kerala. Available in 30 days · Active GitHub contributor."
CAND_0062247,5,0.5003,"Saanvi Trivedi brings 7y of ML/AI experience, most recently at Google as AI Engineer. Strong hands-on match on Qdrant, BM25, Pinecone. Willing to relocate from Kochi, Kerala. Available in 30 days · Active GitHub contributor."
CAND_0064326,6,0.4933,"Nisha Pillai brings 7y of ML/AI experience, most recently at Sarvam AI as Search Engineer. Strong hands-on match on Deep Learning, Milvus, Weaviate. Based in Gurgaon, Haryana. Available in 45 days · Active GitHub contributor."
CAND_0049538,7,0.4804,"Sanjay Bose brings 5y of ML/AI experience, most recently at Saarthi.ai as Applied ML Engineer. Strong hands-on match on Elasticsearch, Milvus, Deep Learning. Based in Jaipur, Rajasthan. Available in 30 days · Active GitHub contributor."
CAND_0020708,8,0.4715,"Kiara Patel brings 4y of ML/AI experience, most recently at PolicyBazaar as Search Engineer. Strong hands-on match on Milvus, Sentence Transformers, scikit-learn. Based in Indore, Madhya Pradesh. Available in 30 days · Active GitHub contributor. Note: recent inactivity."
CAND_0081846,9,0.4642,"Arjun Khanna brings 6y of ML/AI experience, most recently at Razorpay as Lead AI Engineer. Strong hands-on match on Information Retrieval, BM25, Elasticsearch. Willing to relocate from Jaipur, Rajasthan. Available in 30 days · Active GitHub contributor."
CAND_0043860,10,0.4599,"Pranav Sharma brings 6y of ML/AI experience, most recently at Aganitha as Junior ML Engineer. Strong hands-on match on Information Retrieval, Deep Learning, PyTorch. Willing to relocate from Bhubaneswar, Odisha. Available in 30 days."
CAND_0064888,11,0.4572,"Riya Kumar brings 5y of ML/AI experience, most recently at Verloop.io as ML Engineer. Strong hands-on match on TensorFlow, pgvector, Elasticsearch. Willing to relocate from Vizag, Andhra Pradesh. Available in 30 days. Note: includes consulting history."
CAND_0046132,12,0.4559,"Ishaan Pillai brings 4y of ML/AI experience, most recently at Verloop.io as AI Research Engineer. Strong hands-on match on MLflow, PyTorch, Information Retrieval. Based in Noida, Uttar Pradesh. Available in 30 days."
CAND_0000031,13,0.4538,"Ela Singh brings 6y of ML/AI experience, most recently at Swiggy as Recommendation Systems Engineer. Strong hands-on match on Pinecone, Information Retrieval, Sentence Transformers. Willing to relocate from Hyderabad, Telangana. Available in 60 days · Active GitHub contributor."
CAND_0033445,14,0.4479,"Ved Bhatia brings 6y of ML/AI experience, most recently at Vedantu as ML Engineer. Strong hands-on match on BM25, Information Retrieval, Deep Learning. Based in Ahmedabad, Gujarat. Available in 30 days."
CAND_0036437,15,0.4476,"Arjun Joshi brings 4y of ML/AI experience, most recently at Rephrase.ai as Search Engineer. Strong hands-on match on Sentence Transformers, Elasticsearch, Weaviate. Willing to relocate from Kolkata, West Bengal. Available in 30 days · Active GitHub contributor."
