rank,candidate_id,final_score,semantic_fit_score,skills_match_score,experience_fit_score,employer_tier_score,location_fit_score,behavioral_reliability_multiplier,profile_completeness,applied_penalties,reasoning
1,CAND_0036184,0.639,0.6301,0.5482,1.0,0.8662,0.3,0.99,1.0,none,"Riya Chopra brings 6y of ML/AI experience, most recently at CRED as Recommendation Systems Engineer. Strong hands-on match on Sentence Transformers, PyTorch, FAISS. Based in Trivandrum, Kerala. Available in 30 days · Active GitHub contributor."
2,CAND_0030031,0.5913,0.6841,0.5943,0.85,0.7612,0.3,0.94,1.0,none,"Anil Joshi brings 5y of ML/AI experience, most recently at Microsoft as AI Engineer. Strong hands-on match on scikit-learn, Milvus, BM25. Based in Trivandrum, Kerala. Available in 30 days · Active GitHub contributor."
3,CAND_0095619,0.5438,0.6163,0.7852,0.1,0.5,1.0,0.8415,1.0,none,"Vivaan Dalal brings 15y of ML/AI experience, most recently at Nykaa as NLP Engineer. Strong hands-on match on Pinecone, Weaviate, MLflow. Based in Mumbai, Maharashtra. Available in 30 days. Note: recent inactivity."
4,CAND_0002025,0.5223,0.6594,0.5482,0.85,0.54,0.3,0.88,1.0,none,"Ira Dalal brings 5y of ML/AI experience, most recently at Apple as Senior AI Engineer. Strong hands-on match on FAISS, TensorFlow, Sentence Transformers. Based in Trivandrum, Kerala. Available in 30 days · Active GitHub contributor."
5,CAND_0062247,0.5003,0.6938,0.5482,1.0,0.7126,0.85,0.7293,1.0,none,"Saanvi Trivedi brings 7y of ML/AI experience, most recently at Google as AI Engineer. Strong hands-on match on Qdrant, BM25, Pinecone. Willing to relocate from Kochi, Kerala. Available in 30 days · Active GitHub contributor."
6,CAND_0064326,0.4933,0.6537,0.6,1.0,0.6396,1.0,0.7238,1.0,none,"Nisha Pillai brings 7y of ML/AI experience, most recently at Sarvam AI as Search Engineer. Strong hands-on match on Deep Learning, Milvus, Weaviate. Based in Gurgaon, Haryana. Available in 45 days · Active GitHub contributor."
7,CAND_0049538,0.4804,0.6688,0.5905,0.85,0.5132,0.3,0.72,1.0,none,"Sanjay Bose brings 5y of ML/AI experience, most recently at Saarthi.ai as Applied ML Engineer. Strong hands-on match on Elasticsearch, Milvus, Deep Learning. Based in Jaipur, Rajasthan. Available in 30 days · Active GitHub contributor."
8,CAND_0020708,0.4715,0.65,0.6208,0.6,0.5,0.3,0.7069,1.0,none,"Kiara Patel brings 4y of ML/AI experience, most recently at PolicyBazaar as Search Engineer. Strong hands-on match on Milvus, Sentence Transformers, scikit-learn. Based in Indore, Madhya Pradesh. Available in 30 days · Active GitHub contributor. Note: recent inactivity."
9,CAND_0081846,0.4642,0.6076,0.6,1.0,0.6684,0.85,0.6825,1.0,none,"Arjun Khanna brings 6y of ML/AI experience, most recently at Razorpay as Lead AI Engineer. Strong hands-on match on Information Retrieval, BM25, Elasticsearch. Willing to relocate from Jaipur, Rajasthan. Available in 30 days · Active GitHub contributor."
10,CAND_0043860,0.4599,0.6695,0.2999,1.0,0.5658,0.85,0.891,0.8,none,"Pranav Sharma brings 6y of ML/AI experience, most recently at Aganitha as Junior ML Engineer. Strong hands-on match on Information Retrieval, Deep Learning, PyTorch. Willing to relocate from Bhubaneswar, Odisha. Available in 30 days."
11,CAND_0064888,0.4572,0.5484,0.3885,0.85,0.4801,0.85,1.012,1.0,consulting_penalty,"Riya Kumar brings 5y of ML/AI experience, most recently at Verloop.io as ML Engineer. Strong hands-on match on TensorFlow, pgvector, Elasticsearch. Willing to relocate from Vizag, Andhra Pradesh. Available in 30 days. Note: includes consulting history."
12,CAND_0046132,0.4559,0.6459,0.2029,0.6,0.5353,1.0,1.034,0.8,none,"Ishaan Pillai brings 4y of ML/AI experience, most recently at Verloop.io as AI Research Engineer. Strong hands-on match on MLflow, PyTorch, Information Retrieval. Based in Noida, Uttar Pradesh. Available in 30 days."
13,CAND_0000031,0.4538,0.6504,0.684,1.0,0.6386,1.0,0.6306,1.0,none,"Ela Singh brings 6y of ML/AI experience, most recently at Swiggy as Recommendation Systems Engineer. Strong hands-on match on Pinecone, Information Retrieval, Sentence Transformers. Willing to relocate from Hyderabad, Telangana. Available in 60 days · Active GitHub contributor."
14,CAND_0033445,0.4479,0.5431,0.2803,1.0,0.5325,0.3,1.034,0.8,none,"Ved Bhatia brings 6y of ML/AI experience, most recently at Vedantu as ML Engineer. Strong hands-on match on BM25, Information Retrieval, Deep Learning. Based in Ahmedabad, Gujarat. Available in 30 days."
15,CAND_0036437,0.4476,0.6474,0.4963,0.6,0.5,1.0,0.7395,1.0,none,"Arjun Joshi brings 4y of ML/AI experience, most recently at Rephrase.ai as Search Engineer. Strong hands-on match on Sentence Transformers, Elasticsearch, Weaviate. Willing to relocate from Kolkata, West Bengal. Available in 30 days · Active GitHub contributor."
16,CAND_0048558,0.444,0.6034,0.1947,1.0,0.5544,1.0,0.88,0.8,none,"Aisha Joshi brings 6y of ML/AI experience, most recently at Rephrase.ai as Data Scientist. Strong hands-on match on Qdrant, Information Retrieval, Elasticsearch. Willing to relocate from Noida, Uttar Pradesh. Available in 30 days."
17,CAND_0079387,0.4356,0.711,0.3123,1.0,0.5272,0.3,0.7574,1.0,none,"Sneha Arora brings 6y of ML/AI experience, most recently at Microsoft as AI Engineer. Strong hands-on match on Sentence Transformers, BM25, scikit-learn. Based in Trivandrum, Kerala. Available in 30 days · Active GitHub contributor."
18,CAND_0039754,0.4322,0.6468,0.6,0.1,0.7102,0.85,0.7574,1.0,none,"Mira Banerjee brings 16y of ML/AI experience, most recently at Meta as Senior Applied Scientist. Strong hands-on match on pgvector, Deep Learning, Qdrant. Willing to relocate from Indore, Madhya Pradesh. Available in 30 days · Active GitHub contributor."
19,CAND_0026942,0.4256,0.6254,0.31,1.0,0.5125,0.85,0.8316,1.0,consulting_penalty,"Sneha Nair brings 6y of ML/AI experience, most recently at Verloop.io as Junior ML Engineer. Strong hands-on match on TensorFlow, MLflow, scikit-learn. Willing to relocate from Chandigarh, Chandigarh. Available in 30 days · Active GitHub contributor. Note: includes consulting history."
20,CAND_0099806,0.4237,0.7162,0.4626,0.6,0.5611,0.85,0.7106,1.0,none,"Pranav Subramanian brings 4y of ML/AI experience, most recently at Mad Street Den as AI Engineer. Strong hands-on match on Qdrant, FAISS, Elasticsearch. Willing to relocate from Bhubaneswar, Odisha. Available in 30 days · Active GitHub contributor."
21,CAND_0050454,0.4203,0.6916,0.6,1.0,0.5383,1.0,0.648,0.8,none,"Saanvi Bansal brings 6y of ML/AI experience, most recently at Rephrase.ai as AI Engineer. Strong hands-on match on scikit-learn, FAISS, PyTorch. Willing to relocate from Delhi, Delhi. Available in 30 days."
22,CAND_0027691,0.4162,0.6126,0.5082,1.0,0.6408,1.0,0.6358,1.0,none,"Ayaan Goyal brings 6y of ML/AI experience, most recently at Haptik as NLP Engineer. Strong hands-on match on TensorFlow, Weaviate, MLflow. Based in Pune, Maharashtra. Available in 15 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
23,CAND_0045250,0.4097,0.683,0.7339,1.0,0.541,1.0,0.5661,0.8,none,"Priya Pandey brings 6y of ML/AI experience, most recently at Rephrase.ai as Applied ML Engineer. Strong hands-on match on BM25, TensorFlow, Qdrant. Based in Delhi, Delhi. Available in 15 days."
24,CAND_0058688,0.4064,0.6495,0.4963,1.0,0.5,0.6,0.6919,1.0,none,"Anjali Kapoor brings 6y of ML/AI experience, most recently at Vedantu as AI Engineer. Strong hands-on match on Milvus, scikit-learn, Information Retrieval. Willing to relocate from Berlin. Available in 15 days · Active GitHub contributor. Note: recent inactivity."
25,CAND_0091534,0.4062,0.6818,0.4379,0.1,0.7224,1.0,0.714,1.0,none,"Dhruv Dutta brings 16y of ML/AI experience, most recently at Flipkart as AI Engineer. Strong hands-on match on RAG, scikit-learn, Sentence Transformers. Willing to relocate from Gurgaon, Haryana. Available in 30 days · Active GitHub contributor."
26,CAND_0018499,0.402,0.6344,0.6,1.0,0.8419,1.0,0.5704,1.0,none,"Aarav Trivedi brings 7y of ML/AI experience, most recently at Zomato as Senior Machine Learning Engineer. Strong hands-on match on RAG, scikit-learn, Weaviate. Willing to relocate from Noida, Uttar Pradesh. Available in 15 days · Active GitHub contributor. Note: lower recruiter responsiveness."
27,CAND_0006418,0.3997,0.6271,0.5393,0.85,0.6806,1.0,0.6021,1.0,none,"Rahul Mukherjee brings 5y of ML/AI experience, most recently at Verloop.io as Machine Learning Engineer. Strong hands-on match on Weaviate, Qdrant, TensorFlow. Willing to relocate from Gurgaon, Haryana. Available in 60 days · Active GitHub contributor. Note: recent inactivity."
28,CAND_0065195,0.3992,0.6501,0.4963,0.85,1.0,0.65,0.616,1.0,none,"Kiara Mukherjee brings 5y of ML/AI experience, most recently at CRED as Search Engineer. Strong hands-on match on Qdrant, Elasticsearch, scikit-learn. Based in Kolkata, West Bengal. Available in 45 days · Active GitHub contributor."
